NUM TDA,NOMBRE DE TDA,CADENA,FORMATO,MUNICIPIO/CIUDAD,ESTADO,DIVISION,DEPOSITO / DISTRIBUIDOR,ESTRUCTURA,GRADO
99,Clean Khaki Shop,proveedor_1,Shop,Old Golden Vessel,Lorgornna,SUROESTE,Lorgornlor Vocals,DISTRIBUIDORES,VI
100,Clean Grey Jeweller,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
101,Angry Golden Jeweller,proveedor_1,Shop,Tall Lemon Ship,Mobartho,PENÍNSULA,Gusmorus Inc.,DISTRIBUIDORES,VI
102,Angry Olive Cafe,proveedor_1,Shop,Alive Azure Tower,Mobartho,PENÍNSULA,Valarar Toughworks,FORANEO,VI
104,Bloody Turquoise Leftorium,proveedor_1,Shop,Great Beige River,Thogulgul,METRO-NORTE,Navallor Inc.,METRO,II
105,Interesting Aqua GipsyTrade,proveedor_1,Shop,Old Golden Vessel,Lorgornna,SUROESTE,Lorgornlor Vocals,DISTRIBUIDORES,VI
106,Dead Blue GreatShop,proveedor_1,Shop,Horrible Chartreuse Mud,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
107,Clean Aquamarine Convenience,proveedor_1,Shop,Long Chocolate Barrier,Alloralf,CENTRO,Movitalf Empire,DISTRIBUIDORES,IV
108,Bad Violet Deli,proveedor_1,Shop,Legendary Orange Dirt,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
110,Clean Olive CoffeShop,proveedor_1,Shop,Massive Red Hole,Thogulgul,METRO-NORTE,Navallor Inc.,METRO,II
111,Little Lime Butcher,proveedor_1,Shop,Great Violet Rock,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
112,Defiant Green GipsyTrade,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
113,Kicking Sky Blue TallMarket,proveedor_1,Shop,Dead Olive Rock,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
114,Enlightened Silver SmallShop,proveedor_1,Shop,Legendary Orange Dirt,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
116, Indigo Shop,proveedor_1,Shop,Bad Silver Dirt,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
117,Impressive Indigo Grocery,proveedor_1,Shop,Horrible Chartreuse Mud,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
118,First Azure Florist,proveedor_1,Shop,First Blue Rock,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
119,Dirty Lime SuperMarket,proveedor_1,Shop,Old Sea Green Soil,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
120,Dead Sky Blue Grocery,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
121,Massive Purple HighShop,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
122,Evil Lavender Fishmonger,proveedor_1,Shop,Awful White Tree,Armamo,METRO-NORTE,Navallor Inc.,METRO,I
123,Interesting Chocolate Center,proveedor_1,Shop,First Salmon Applepie,Lorthogul,METRO-NORTE,Navallor Inc.,METRO,II
124,New Navy BigCenter,proveedor_1,Shop,Defiant Brown Valley,Gulalco,NOROESTE,Gornvalval Industrail,DISTRIBUIDORES,I
125,Short Sky Blue TinyShop,proveedor_1,Shop,Tall Indigo Capital,Valargorn,NOROESTE,Lorealf Industrail,FORANEO,II
126,Long Crimson Deli,proveedor_1,Shop,Awful White Tree,Armamo,METRO-NORTE,Navallor Inc.,METRO,I
127, Fuchsia BigCenter,proveedor_1,Shop,Awful White Tree,Armamo,METRO-NORTE,Navallor Inc.,METRO,I
128,Bad Lemon Cafe,proveedor_1,Shop,Awesome Lavender River,Armamo,METRO-NORTE,Navallor Inc.,METRO,I
129,Dirty Lavender SmallShop,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
130,Singing Turquoise Cafe,proveedor_1,Shop,Angry Navy Empire,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
131,Dangerous Silver BigCom,proveedor_1,Shop,Tiny Pink Soil,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
132,Alive Lavender HighShop,proveedor_1,Shop,Angry Indigo Applepie,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
133,Dangerous Azure Leftorium,proveedor_1,Shop, Cyan Star,Armamo,METRO-NORTE,Navallor Inc.,METRO,I
134,Bad Aquamarine TinyShop,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
135,Alive Burgundy Market,proveedor_1,Shop,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
137, Cyan TinyShop,proveedor_1,Shop,Rare Turquoise Rock,Rodbare,SUROESTE,Elore Toughworks,DISTRIBUIDORES,VI
138,Rare Pink Center,proveedor_1,Shop,Horrible Purple Tree,Lorgulgus,CENTRO-SUR,Gorngusco Toughworks,FORANEO,IV
139,Funny Beige Baker,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
140,Awesome Magenta Fishmonger,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
141,Long Khaki Florist,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Thrilvitar Industrail,METRO,V
142,Impressive Green CoffeShop,proveedor_1,Shop,Dead Orchid Stone,Alfthrilmad,NOROESTE,Argullor Ifonforge Industries,FORANEO,II
143,Empty Turquoise Baker,proveedor_1,Shop,Clean Aqua Soil,Egusgul,NOROESTE,Gornvalval Industrail,DISTRIBUIDORES,IV
144,Small Olive Center,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
145,Big Cyan Laundrette,proveedor_1,Shop,Massive Golden Shop,Alflorval,CENTRO,Gornmadvit Industrail,DISTRIBUIDORES,IV
146,Clean Yellow Baker,proveedor_1,Shop,Tiny Indigo Tree,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
147,Awesome Crimson Fishmonger,proveedor_1,Shop,Defiant Turquoise Pine,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
149,Small Blue Jeweller,proveedor_1,Shop,Evil Azure Metropolis,Erodmo,BAJÍO,Rusloralf Inc.,DISTRIBUIDORES,III
150,New Orange HairDresser,proveedor_1,Shop,Evil Pink Vessel,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
151,Funny Cyan Butcher,proveedor_1,Shop,Enlightened Fuchsia Hole,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
153,Dirty Golden BigCenter,proveedor_1,Shop,Legendary Olive ,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
154,Bad Silver Butcher,proveedor_1,Shop,Great White Baton,Magornmar,METRO-SUR,Thrilvitar Industrail,METRO,V
155,Legendary Lime Baker,proveedor_1,Shop,Defiant Violet Beach,Eemar,BAJÍO,Lormarmad Corp.,FORANEO,II
157,Bizarre Blue TinyShop,proveedor_1,Shop,Long Chocolate Barrier,Alloralf,CENTRO,Movitalf Empire,DISTRIBUIDORES,IV
158,Bizarre Azure Florist,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
159,Dull Orchid SmallShop,proveedor_1,Shop,Angry Indigo Applepie,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
160,Dangerous Salmon HighShop,proveedor_1,Shop,Singing Grey Empire,Alfrusma,OCCIDENTE,Barthrilal Vocals,FORANEO,III
161,Kicking Aqua GipsyTrade,proveedor_1,Shop,Clean Blue Dirt,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
162,Interesting Black AllInOne,proveedor_1,Shop,Clean Aqua Soil,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
163,Old Purple GreatShop,proveedor_1,Shop,Bad Dark Hole,Thogulgul,SURESTE,Malormad Corp.,FORANEO,II
164,Last Sky Blue Convenience,proveedor_1,GreatShop,Angry Indigo Applepie,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
165,Bad Aqua Grocery,proveedor_1,Shop,Interesting Lime Comet,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
166,Defiant Yellow Bank,proveedor_1,Shop,Massive Chocolate Mud,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
167,Dirty Violet Deli,proveedor_1,Shop,Alive Sky Blue Stone,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
169,Old Orchid SuperMarket,proveedor_1,Shop,Singing Yellow Barrier,Lorgornna,SUROESTE,Lorgornlor Vocals,DISTRIBUIDORES,VI
170,Empty Magenta Butcher,proveedor_1,Shop,Rare Navy Dirt,Rodbare,SUROESTE,Thoiomad Vocals,DISTRIBUIDORES,VI
171,Long Turquoise TallMarket,proveedor_1,GreatShop,Awesome Chocolate Soil,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
172,Short Lavender TinyShop,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
175,Defiant Yellow LunchHall,proveedor_1,Shop,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
231,Awesome Pink BigCom,proveedor_1,Shop,Interesting Green Pine,Alloralf,METRO-SUR,Ioalfio Ifonforge Industries,METRO,IV
232,Legendary Coral SmallShop,proveedor_1,Shop,Clean Blue Dirt,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
233,Defiant Silver Center,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
234,Enlightened Aquamarine Stationer,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Thrilvitar Industrail,METRO,V
235,Empty White Florist,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
236,High Orange Chemist,proveedor_1,Shop,Last Pink River,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
237,Empty Lemon TallMarket,proveedor_1,Shop,Dangerous Black Empire,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
238,Bloody Lime Convenience,proveedor_1,Shop,Clean Aqua Soil,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
239,Dirty Lemon Shop,proveedor_1,Shop,Young Orchid Capital,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
240,Dull Navy BookShop,proveedor_1,Shop,Rare Lemon Key,Alloralf,METRO-SUR,Thrilthoal Empire,METRO,IV
241,Legendary Olive Deli,proveedor_1,Shop,Funny Lemon Star,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
242,Alive Fuchsia TallMarket,proveedor_1,Shop,Funny Magenta Tree,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
243,Angry Beige Convenience,proveedor_1,Shop,Awful Beige ,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
244,First Blue Market,proveedor_1,Shop,First Salmon Rock,Lorvalmo,BAJÍO,Argule Ifonforge Industries,FORANEO,IV
245,High Salmon Tobacconist,proveedor_1,Shop,First Salmon Rock,Lorvalmo,BAJÍO,Argule Ifonforge Industries,FORANEO,IV
246,Legendary Turquoise Grocery,proveedor_1,Shop,Evil Azure Metropolis,Erodmo,BAJÍO,Rusloralf Inc.,DISTRIBUIDORES,III
247,Bizarre Navy Shop,proveedor_1,Shop,Evil Azure Metropolis,Erodmo,BAJÍO,Rusloralf Inc.,DISTRIBUIDORES,III
248,Kicking Pink HairDresser,proveedor_1,Shop,Massive Pink Ledge,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
249,Young Turquoise SmallShop,proveedor_1,Shop,Legendary Orange Dirt,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
250,Angry Chocolate BookShop,proveedor_1,Shop,Young Chocolate Burgo,Marcotho,BAJÍO,Marodio Vocals,FORANEO,III
251,Dirty Sky Blue BigCenter,proveedor_1,Shop,Legendary Lavender Key,Eemar,BAJÍO,Lormarmad Corp.,FORANEO,II
252,Dull Salmon SmallShop,proveedor_1,Shop,Kicking Red ,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
253,Short Green Bank,proveedor_1,Shop,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
254,Legendary Crimson TallMarket,proveedor_1,Shop,Horrible Purple Tree,Lorgulgus,CENTRO-SUR,Gorngusco Toughworks,FORANEO,IV
255,Dull Orange GreatShop,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
256, Orange Chemist,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
260,Tiny Lemon GreatShop,proveedor_1,Shop,Rare Lemon Key,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
425,Young Red Baker,proveedor_1,Mall,Angry Indigo Applepie,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
496,Little Olive Leftorium,proveedor_1,Mall,Angry Indigo Applepie,Arrodio,METRO-NORTE,Navallor Inc.,FORANEO,VI
498,New Silver Fishmonger,proveedor_1,Mall,Angry Indigo Applepie,Magornmar,METRO-NORTE,Navallor Inc.,METRO,V
601,Last Lemon Mall,proveedor_1,GreatShop,Funny Azure Castle,Alflorval,CENTRO,Gornmadvit Industrail,DISTRIBUIDORES,IV
602,Young Golden BigCom,proveedor_1,GreatShop,Enlightened Crimson Dirt,Coalmar,SURESTE,Gorngornco Ifonforge Industries,DISTRIBUIDORES,VI
603,Dirty Coral LunchHall,proveedor_1,GreatShop,Angry Salmon Baton,Lorgulgus,CENTRO-SUR,Rusrusma Gmbh,DISTRIBUIDORES,IV
604,Evil Yellow Chemist,proveedor_1,Shop,Rare Black Hole,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
605,Old Violet LunchHall,proveedor_1,Shop,Clean Green Asteroid,Coalmar,SURESTE,Arbarrus Gmbh,DISTRIBUIDORES,VI
606,Impressive Aquamarine Baker,proveedor_1,Shop,Evil Orange Baton,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
608,New Crimson Cafe,proveedor_1,GreatShop,Horrible Crimson Creek,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
610,Clean Lavender Convenience,proveedor_1,GreatShop,Kicking Violet Tree,Mobartho,PENÍNSULA,Valarar Toughworks,FORANEO,VI
611,Legendary Lavender Convenience,proveedor_1,GreatShop,Young Crimson Pine,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
612,First Chartreuse CoffeShop,proveedor_1,GreatShop,Tall Aquamarine Rock,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
613,Funny Khaki Stationer,proveedor_1,GreatShop,Short Brown Butter,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
614,Tall Orchid CoffeShop,proveedor_1,GreatShop,Tiny Pink Soil,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
615,Bloody Indigo GipsyTrade,proveedor_1,GreatShop,Clean Magenta Bay,Lorgornna,SUROESTE,Thocoma Gmbh,DISTRIBUIDORES,VI
616,Rare Azure Deli,proveedor_1,GreatShop,Funny Salmon Beach,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
617,Bizarre Pink AllInOne,proveedor_1,GreatShop,Old Golden Vessel,Lorgornna,SUROESTE,Thocoma Gmbh,DISTRIBUIDORES,VI
618,Dull Sea Green Grocery,proveedor_1,GreatShop,Legendary Green Jungle,Mobartho,PENÍNSULA,Valarar Toughworks,FORANEO,VI
619,Angry Golden LunchHall,proveedor_1,GreatShop,Bloody Navy Tower,Lorgulgus,CENTRO-SUR,Rusrusma Gmbh,DISTRIBUIDORES,IV
620,Short Pink Jeweller,proveedor_1,GreatShop,Horrible Purple Tree,Lorgulgus,CENTRO-SUR,Rusrusma Gmbh,DISTRIBUIDORES,IV
621,Clean Green Chemist,proveedor_1,GreatShop,Horrible Purple Tree,Lorgulgus,CENTRO-SUR,Gorngusco Toughworks,FORANEO,IV
622,Singing Lemon HighShop,proveedor_1,GreatShop,Bad Olive Hole,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
623,Young Navy Center,proveedor_1,GreatShop,Bizarre White Shop,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
625,Bloody Crimson Center,proveedor_1,GreatShop,Horrible Purple Tree,Lorgulgus,CENTRO-SUR,Rusrusma Gmbh,DISTRIBUIDORES,IV
626,Impressive Chartreuse Market,proveedor_1,GreatShop,Bizarre White Shop,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
